sentence1,sentence2,condition,label,correction
A glass of red wine and a bowl of chili with corn chips on a wooden board,A plate with a sandwich and chips sitting on a counter with a bottle.,The location of the food.,4,-1
A person on a snowboard is completing a trick on a half pipe in the snow white colored mountains .,A person wearing a blue jacket walking up a hill through snow with red skies .,The sport.,4,-1
A mountain biker jumping a slope outdoors in a forest area .,a cyclist is making his bike jump between two rocks .,The number of wheels.,4,-1
A plate full of cut salad with a fork and a glass full of cold drink with ice.,"A dish which contains broccoli, cauliflower and meat is pictured on top of a wooden tray.",The presence of vegetables.,5,-1
A bicyclist goes over a dirt ramp and catches some air .,A skateboarder performing an aerial trick on a half pipe .,The speed of the people.,4,-1
Brown dog and German shepherd standing near each other in the grass near water .,Two dogs with the same coloring look like they are going to bite each other in the face .,The number of dogs.,5,-1
A boy is flying in midair while snowboarding in a hilly and wooded area .,A person wearing a black sweatshirt and red pants is riding on a snowboard on a green box .,The person's age.,1,3
The big brown dog looks at the small black dog in tall grass .,A dog walks in the grass towards a dog lying down .,The color of the animals.,1,3
A set of Wii motes sits on a futon in a mildly cluttered living room.,A room with a bunk bed over a couch and a desk with computer.,The name of the place.,1,-1
The man is holding a baby near a carnival game .,A new dad sees that his fatherhood is continuing .,Fatherhood.,4,-1
Three women are working with microscopes while wearing white .,A female is in a lab looking at a yellow liquid .,The female.,4,-1
A desk and chair  with a monitor and laptop sitting next to a window.,A bright light in a living room next to a table and a folded up stepstool.,The room.,4,3
"A girl sitting on a counter next to a blender, some cups and a microwave.","An assortment of items on top of a desk, one of which is a laptop computer.",The location.,4,2
Surf n' Turf with broccoli and carrots really looks good on a white plate.,"A picture of someone's dinner. Steak with carrots and greens on the side, on a green plate.
",The color of the plate.,3,1
A black and white dog is playing with a ball on a lawn .,A small dog jumping an obstacle in a grassy field .,The size.,5,3
A table setting with a candle and a glass with limes on the side.,"A tall case of flowers on an elaborate dining area sit alongside two wine glasses and a dish.
",The dish.,1,3
One little boy trying to hit the ball with all of his strength .,A baseball player in blue is running the bases while a player in red tries to tag him out .,The sport.,2,3
A baseball player gets ready to swing for a ball as the catcher prepares to catch it.,The batter is swinging at the pitch with catcher and  umpire focused at the ball.,The sport.,3,5
5 men in yellow vest working at construction site .,Workman on a scaffold are finishing a ceiling of a building .,The occupation.,5,-1
Two players fencing inside a gym with several spectators in the background .,A crowd of people watch a martial arts demonstration .,The sport.,4,3
